pcut_position,psvol_position,label
-884606,11128,1
-884606,11128,1
-884606,11128,1
-884606,11128,1
-884606,11128,1
-884606,11128,1
-884606,11128,1
-884606,11128,1
-884606,11128,1
-884606,11128,1
-884606,11128,1
-884606,11128,1
-884606,11128,1
-884606,11128,1
-884606,11128,1
-884606,11128,1
-884606,11128,1
-884606,11128,1
-884606,11128,1
-884606,11128,1
-884606,11128,1
-884606,11128,1
-884606,11128,1
-884606,11128,1
-884606,11128,1
-884606,11128,1
-884606,11128,1
-884606,11128,1
-884606,11128,1
-884606,11128,1
-884606,11128,1
-884606,11128,1
-884606,11128,1
-884606,11128,1
-884606,11128,1
-884606,11128,1
-884606,11128,1
-884606,11128,1
-884606,11128,1
-884606,11128,1
-884606,11128,1
-884606,11128,1
-884606,11128,1
-884606,11128,1
-884605,11128,1
-884605,11128,1
-884605,11128,1
-884605,11128,1
-884605,11128,1
-884605,11128,1
-884604,11129,1
-884604,11129,1
-884604,11129,1
-884604,11129,1
-884603,11130,1
-884603,11130,1
-884603,11130,1
-884602,11131,1
-884602,11131,1
-884601,11131,1
-884601,11132,1
-884600,11132,1
-884600,11133,1
-884599,11133,1
-884599,11134,1
-884598,11134,1
-884598,11135,1
-884597,11136,1
-884596,11136,1
-884595,11137,1
-884595,11138,1
-884594,11139,1
-884593,11140,1
-884592,11141,1
-884591,11141,1
-884590,11142,1
-884589,11143,1
-884588,11144,1
-884587,11145,1
-884586,11147,1
-884585,11148,1
-884584,11149,1
-884583,11150,1
-884581,11151,1
-884580,11153,1
-884579,11154,1
-884578,11155,1
-884576,11157,1
-884575,11158,1
-884573,11160,1
-884572,11161,1
-884571,11163,1
-884569,11165,1
-884568,11166,1
-884566,11168,1
-884564,11170,1
-884563,11172,1
-884561,11173,1
-884559,11175,1
-884558,11177,1
-884556,11179,1
-884554,11181,1
-884552,11183,1
-884551,11185,1
-884549,11187,1
-884547,11189,1
-884545,11191,1
-884541,11196,1
-884539,11198,1
-884537,11200,1
-884535,11203,1
-884533,11205,1
-884531,11208,1
-884529,11210,1
-884527,11212,1
-884525,11215,1
-884523,11217,1
-884521,11220,1
-884519,11223,1
-884517,11225,1
-884515,11228,1
-884513,11230,1
-884511,11233,1
-884508,11236,1
-884506,11238,1
-884504,11241,1
-884502,11244,1
-884500,11247,1
-884498,11250,1
-884496,11252,1
-884493,11255,1
-884491,11258,1
-884489,11261,1
-884487,11264,1
-884485,11267,1
-884483,11270,1
-884481,11272,1
-884479,11275,1
-884476,11278,1
-884474,11281,1
-884472,11284,1
-884470,11287,1
-884468,11290,1
-884466,11293,1
-884464,11296,1
-884462,11299,1
-884460,11302,1
-884458,11305,1
-884456,11307,1
-884454,11310,1
-884452,11313,1
-884450,11316,1
-884448,11319,1
-884447,11322,1
-884445,11325,1
-884443,11328,1
-884441,11331,1
-884439,11334,1
-884437,11337,1
-884435,11339,1
-884434,11342,1
-884432,11345,1
-884430,11348,1
-884428,11351,1
-884426,11354,1
-884425,11357,1
-884423,11360,1
-884421,11363,1
-884419,11366,1
-884418,11369,1
-884416,11371,1
-884414,11374,1
-884413,11377,1
-884411,11380,1
-884409,11383,1
-884408,11386,1
-884406,11389,1
-884405,11392,1
-884403,11395,1
-884401,11398,1
-884400,11401,1
-884398,11404,1
-884397,11406,1
-884395,11409,1
-884394,11412,1
-884392,11415,1
-884391,11418,1
-884389,11421,1
-884388,11424,1
-884386,11427,1
-884385,11430,1
-884383,11432,1
-884382,11435,1
-884380,11438,1
-884379,11441,1
-884378,11444,1
-884376,11447,1
-884375,11450,1
-884374,11453,1
-884372,11456,1
-884371,11459,1
-884370,11462,1
-884368,11464,1
-884367,11467,1
-884366,11470,1
-884365,11473,1
-884363,11476,1
-884362,11479,1
-884361,11482,1
-884360,11485,1
-884358,11488,1
-884357,11491,1
-884356,11494,1
-884355,11497,1
-884354,11499,1
-884353,11502,1
-884351,11505,1
-884350,11508,1
-884349,11511,1
-884348,11514,1
-884347,11517,1
-884346,11520,1
-884345,11523,1
-884344,11526,1
-884343,11529,1
-884342,11531,1
-884341,11534,1
-884340,11537,1
-884339,11540,1
-884338,11543,1
-884337,11546,1
-884336,11549,1
-884335,11552,1
-884334,11555,1
-884333,11558,1
-884332,11561,1
-884331,11564,1
-884330,11566,1
-884330,11569,1
-884329,11572,1
-884328,11575,1
-884327,11578,1
-884326,11581,1
-884325,11584,1
-884325,11587,1
-884324,11590,1
-884323,11593,1
-884322,11596,1
-884322,11598,1
-884321,11601,1
-884320,11604,1
-884319,11607,1
-884319,11610,1
-884318,11613,1
-884317,11616,1
-884317,11619,1
-884316,11622,1
-884315,11625,1
-884315,11628,1
-884314,11631,1
-884314,11633,1
-884313,11636,1
-884312,11639,1
-884312,11642,1
-884311,11645,1
-884311,11648,1
-884310,11651,1
-884310,11654,1
-884309,11657,1
-884309,11660,1
-884308,11662,1
-884308,11665,1
-884307,11668,1
-884307,11671,1
-884306,11674,1
-884306,11677,1
-884305,11680,1
-884305,11683,1
-884305,11686,1
-884304,11689,1
-884304,11692,1
-884303,11695,1
-884303,11697,1
-884303,11700,1
-884302,11703,1
-884302,11706,1
-884302,11709,1
-884302,11712,1
-884301,11715,1
-884301,11718,1
-884301,11721,1
-884300,11724,1
-884300,11727,1
-884300,11729,1
-884300,11732,1
-884299,11735,1
-884299,11738,1
-884299,11741,1
-884299,11744,1
-884299,11747,1
-884299,11750,1
-884298,11753,1
-884298,11756,1
-884298,11759,1
-884298,11761,1
-884298,11764,1
-884298,11767,1
-884298,11770,1
-884298,11773,1
-884298,11776,1
-884298,11779,1
-884298,11782,1
